127.0.0.1, 2015-03-31 15:22:57, GET, /tpop/static/images/gplus-32.png, HTTP/1.1, 304, 0.007016
127.0.0.1, 2015-03-31 15:24:00, GET, /tpop/fun/count, HTTP/1.1, 200, 3.073010
127.0.0.1, 2015-03-31 15:24:03, GET, /tpop/fun/count, HTTP/1.1, 200, 5.593056
127.0.0.1, 2015-03-31 15:24:06, GET, /tpop/fun/count, HTTP/1.1, 200, 7.870334
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/fun/count, HTTP/1.1, 200, 10.533253
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.017356
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/js/jquery.js, HTTP/1.1, 304, 0.040838
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/js/calendar.js, HTTP/1.1, 304, 0.022445
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/css/web2py.css, HTTP/1.1, 304, 0.031231
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.008263
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/css/calendar.css, HTTP/1.1, 304, 0.049108
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/js/web2py.js, HTTP/1.1, 304, 0.060034
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.018829
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.075160
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.058862
127.0.0.1, 2015-03-31 15:24:09, GET, /tpop/static/js/share.js, HTTP/1.1, 304, 0.021913
127.0.0.1, 2015-03-31 15:24:10, GET, /tpop/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.007869
127.0.0.1, 2015-03-31 15:24:10, GET, /tpop/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.020772
127.0.0.1, 2015-03-31 15:24:13, GET, /tpop/fun/count, HTTP/1.1, 200, 14.934771
127.0.0.1, 2015-03-31 15:24:13, GET, /tpop/static/images/twitter.png, HTTP/1.1, 304, 0.024620
127.0.0.1, 2015-03-31 15:24:13, GET, /tpop/static/images/facebook.png, HTTP/1.1, 304, 0.034761
